feature,mean,scale
log_export_pct_gdp_yoy_pct,0.007574566671758838,0.01280248807622293
log_log_export_pct_gdp,1.4324685182174393,0.05931868342868321
log_gov_spending_pct_gdp_lag1,2.0861747273482782,0.2282713107416887
log_gov_spending_pct_gdp_lag4,2.0836581584207416,0.2277202439018405
log_gov_spending_pct_gdp_diff1,0.0006446708346261939,0.029097251249687865
log_gov_spending_pct_gdp_diff4,0.0023924390743627596,0.09607503142795194
log_gov_spending_pct_gdp_qoq_pct,0.00040987094561881904,0.015065753611488524
log_gov_spending_pct_gdp_yoy_pct,0.0023729011137632356,0.05257783985127565
log_log_gov_spending_pct_gdp,0.7294896149388429,0.11274200394154657
log_gdp_growth_lag1,1.8591121232550585,0.23984340809455904
log_gdp_growth_lag4,1.8503199589023513,0.23336175870292897
log_gdp_growth_diff1,-0.000321506372235916,0.08420145290103921
log_gdp_growth_diff4,-0.0010522427875717729,0.2610445581396522
log_gdp_growth_qoq_pct,0.0016419686960280613,0.06276051753188598
log_gdp_growth_yoy_pct,0.015947811254557673,0.20016470231110228
log_log_gdp_growth,0.6111211541293577,0.15406669961324593
log_log_gdp_lag1,1.5404206831903438,0.22946594954264096
log_log_gdp_lag4,1.5331087796465972,0.22479615453188556
log_log_gdp_diff1,0.0057625636628424225,0.004175065798022538
log_log_gdp_diff4,0.022937855640702734,0.014354853624969197
log_log_gdp_qoq_pct,0.00398767071899417,0.003112667478406033
log_log_gdp_yoy_pct,0.015875495491957617,0.010780843647779046
log_log_log_gdp,0.4217307709184943,0.15616080287155076
real_interest_rate_lag1,5.404715447154472,3.862172498946435
real_interest_rate_lag4,5.340933333333334,3.841218868917096
real_interest_rate_diff1,-0.07225203252032521,0.9004556874474091
real_interest_rate_diff4,-0.25600833333333334,2.74712016510849
n_comments_lag1,3059.227642276423,1403.3321509950024
n_comments_lag4,3130.0666666666666,1330.4148318217078
n_comments_diff1,-28.05691056910569,473.73107760002483
n_comments_diff4,-117.06666666666666,726.764756869757
n_comments_qoq_pct,0.6235631128228389,5.873556636524339
n_comments_yoy_pct,3.7945762876954503,27.48729524622763
n_unique_authors_lag1,2100.528455284553,944.4603197423354
n_unique_authors_lag4,2147.9333333333334,895.9106444259377
n_unique_authors_diff1,-18.666666666666664,364.19205024597335
n_unique_authors_diff4,-78.17500000000001,521.9535367793303
n_unique_authors_qoq_pct,0.5590473977120509,5.166399169016043
n_unique_authors_yoy_pct,3.9765170723239405,30.035216962636508
like_sum_lag1,9484.69918699187,4624.236388461377
like_sum_lag4,9719.0,4382.395809629485
like_sum_diff1,-94.60162601626016,1061.0574437935184
like_sum_diff4,-389.82500000000005,2077.0467195519727
like_mean_lag1,2.6361296508968874,1.0878877795051616
like_mean_lag4,2.687505174743793,1.0381259440818893
